id,name,psmiles,source,description,Tg,Tm,elastic_modulus,molecular_weight
polymethacrylate,Polymethacrylate,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacrylate,,,2.0,600.0
polymerisationthe,Polymerisationthe,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationthe,,,100.0,
polymethacrylic,Polymethacrylic,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacrylic,,,25086.0,
polymetha,Polymetha,CC,pdf_datasheet,Polymer extracted from datasheet: polymetha,,,2.0,
polymethacryloni,Polymethacryloni,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethacryloni,,,53112.0,
polyemeraldine,Polyemeraldine,CC,pdf_datasheet,Polymer extracted from datasheet: polyemeraldine,,,5.0,
polymerdepends,Polymerdepends,CC,pdf_datasheet,Polymer extracted from datasheet: polymerdepends,,,1.0,
polyisopropylethylene,Polyisopropylethylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyisopropylethylene,,,25085.0,
polysilylene,Polysilylene,CC,pdf_datasheet,Polymer extracted from datasheet: polysilylene,,,,5.4
polymerisationv,Polymerisationv,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationV,,,1.0,
polymethyloctyl,Polymethyloctyl,CC,pdf_datasheet,Polymer extracted from datasheet: polymethyloctyl,,,1.0,1500.0
polymethyloctylsiloxane,Polymethyloctylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethyloctylsiloxane,,,1.0,
polymethylphenylsiloxane,Polymethylphenylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethylphenylsiloxane,,,1.0,
polycarbosilanespolymer,Polycarbosilanespolymer,CC,pdf_datasheet,Polymer extracted from datasheet: PolycarbosilanesPolymer,,,32202.0,82.0
polypyrrole,Polypyrrole,CC,pdf_datasheet,Polymer extracted from datasheet: polypyrrole,,,1.0,
polyvinylspoly,Polyvinylspoly,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinylsPoly,,,78.0,
polymerises,Polymerises,CC,pdf_datasheet,Polymer extracted from datasheet: polymerises,,,1.0,
polyacetal,Polyacetal,CC,pdf_datasheet,Polymer extracted from datasheet: Polyacetal,,,,20000.0
polyformaldehyde,Polyformaldehyde,CC,pdf_datasheet,Polymer extracted from datasheet: Polyformaldehyde,,,,20000.0
polyoxymethylene,Polyoxymethylene,CC,pdf_datasheet,Polymer extracted from datasheet: Polyoxymethylene,,,1.0,
polyphenyl,Polyphenyl,CC,pdf_datasheet,Polymer extracted from datasheet: Polyphenyl,,,26008.0,
polyphenylenediselenothiocarbonate,Polyphenylenediselenothiocarbonate,CC,pdf_datasheet,Polymer extracted from datasheet: Polyphenylenediselenothiocarbonate,,,2.0,
polyphenylsilane,Polyphenylsilane,CC,pdf_datasheet,Polymer extracted from datasheet: polyphenylsilane,,,2.0,
polyphenylsulfone,Polyphenylsulfone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyphenylsulfone,,,1.0,
polyphthalamide,Polyphthalamide,CC,pdf_datasheet,Polymer extracted from datasheet: Polyphthalamide,,,1.0,
polyamidecas,Polyamidecas,CC,pdf_datasheet,Polymer extracted from datasheet: polyamideCAS,,,1.0,
polystyrenesolvents,Polystyrenesolvents,CC,pdf_datasheet,Polymer extracted from datasheet: polystyreneSolvents,,,2.0,
polycarbonateunits,Polycarbonateunits,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbonateunits,,,1.0,170000.0
polymersare,Polymersare,CC,pdf_datasheet,Polymer extracted from datasheet: polymersare,,,3.0,75200.0
polydisperse,Polydisperse,CC,pdf_datasheet,Polymer extracted from datasheet: polydisperse,,,3.0,
polymerswith,Polymerswith,CC,pdf_datasheet,Polymer extracted from datasheet: polymerswith,,,3.0,
polystyrenemw,Polystyrenemw,CC,pdf_datasheet,Polymer extracted from datasheet: polystyreneMW,,,1.0,330000.0
polymethyldimethylsiloxane,Polymethyldimethylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: polymethyldimethylsiloxane,,,,2000.0
